Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2139,101
Krizski,1851,72
Garbage,1793,74
Riceboy,1708,123
Swan,1687,60
Poppinfresh,1681,61
Odds,1631,107
Minijoel,1613,65
Milesss,1610,75
Qwuv,1599,66
 - - - - - - Gold - - - - - - 
Mono,1583,119
Wamsa,1556,63
Dimentio,1538,96
Rat!,1482,65
Mftea,1474,190
Birmi,1472,56
Brunch,1468,83
Liban$,1457,74
Isis,1454,71
Vision,1433,68
Tsteak,1365,80
Mach5,1348,264
Bigbird,1309,103
Thegroose,1247,113
Magpie,1238,148
 - - - - - - Silver 1 - - - - - - 
Me$|ataro,1236,217
Aozorax,1223,184
Nate,1217,125
Duckrobin,1200,70
Nitro,1192,212
Venison,1172,115
Bapple,1157,90
Zipper,1142,248
Rash,1121,226
Kova,1118,154
 - - - - - - Silver 2 - - - - - - 
Dunk,1109,201
Seemorebutts,1106,188
Tino,1101,228
Seen,1095,102
Unrealodin,1074,203
Silver,1069,201
J0ey,1060,161
Thunderbob,1055,213
Stewie2k,1048,224
Chewwie,1016,203
Danny,1006,193
Finsnreads,999,204
Unity,993,110
Yunggravy,991,208
Mosizzle,990,154
 - - - - - - Bronze 1 - - - - - - 
Aids,989,93
Gocutiego,970,272
Dishwash,965,176
Rain,963,165
Ashley,961,178
Linda,954,255
Wpi|folie,946,160
Dokmomo,945,143
Fullmetalbiochemist,934,224
Rtsvicta,930,277
 - - - - - - Bronze 2 - - - - - - 
Me$|jafrie,925,230
Tomthebomb,921,232
Ed,920,173
Slinky,913,189
Me$|platplat,900,168
Nickzack,886,120
Thetripod,877,225
Me$|smflow,870,180
Noah,849,239
Killiants,847,191
Arcanum,836,226
Helvetios,824,235
Calcium,809,227
Sykke,808,289
Blackgun,808,333
 - - - - - - Starter - - - - - - 
Greenapple,804,220
Soupostrich,794,258
Jip,789,234
Jams,786,238
Whatgood,771,224
Tomato,771,265
Josh,766,238
Cal,748,166
Busso,736,215
?,732,177
Derpinator,731,143
Meleekunis,728,341
Boss,727,200
Runawayfire,721,308
Spice,714,234
Babe,714,361
Auntjemina,709,228
Tv,698,237
Moobesor,692,255
Tubbs,688,232
Jts,684,224
Skittles,682,221
Twdock,680,246
Spencomatic,665,230
Xavier,663,227
Swell,645,286
Rocky,644,151
Jam,640,269
Edmonster,631,253
Infest,602,221
Yale,602,121
Tmah,579,312
Midnighthillbomber,575,267
Spicymeme,560,345
Darkmatter,558,296
Divus,555,312
Earl,530,207
Yzus,478,387
Ozio,461,272
Daemomlock,459,353
Dante,447,276
Deisman,443,261
Bighp,391,382
Kalco,387,350
Ratemyname,-44,407
